tweet_cleaned,tweet,polarity
labs šodien tiešs jēzus mirt,"@atheist_from_lv Viss labi, šodien tieši jēzus ir miris :)",1
labs likt saprast ļoti spēcīgs confirmation bias ļoti griba taisnība,"@MatissJekabsons Šis man labi pašam lika saprast cik ļoti spēcīgs ir tas confirmation bias, kad ļoti gribās, lai tā būtu taisnība! 😂",1
kāds varēt izdabāt labs labs,"@Sarkanas_kurpes @dvinutetis @IngaIngucis @emmasgramata @Sarkanas_kurpes Tev nekādi nevar izdabāt. Tā nav labi, i šitā nav labi",1
kristietis baznīca patdogmu krist ciets ciest krist ciest labs jautājums sieviete piespiest iznēsāt izvarorāja bērns pluss dzīvība saglabāt divi putns viena akmens,"@editeu Tas būs pret kristiešu baznīcas patdogmu - Kristus cieta par jums, jums jācieš par Kristu. Ciešanas ir labi, tāpēc arī nav jautājums par sieviešu piespiešanu iznēsāt izvarorāja bērnu. Plus vēl dzīvība tiks saglabāta. Divi putni ar vienu akmeni.",1
latvisks dzīvesziņa beigt labs beigas,"RT @pepija: Latviskā dzīvesziņa: ja kaut kas beidzas labi, tad tās vēl nav beigas.",1
mīļš paldies labs atruna bank hols darīt labs mazliet dārzs pačubināt,"@debes_manna Mīļš paldies ♥️

Laba atruna pa bank hols neko nedarīt. Nu labi, mazliet dārzā varbūt pačubināties 😅",1
zināt gadījums laiks sestdiena tirgus pieiet labs aizstāvēt mirklis atzīt vaina jautrs domāt imants pareizticīgs macītājs zina liekulīgs visa godīgs cilvēks,"@zeltace @Paradnieks Ziniet, šajā gadījumā tā laikam ir. Katru sestdienu esmu tirgū. Piegāju pie viņas, nav labi, aizstāvējās un ne mirkli neatzina savu vainu. No jautrā - viņa domāja, ka Imants ir pareizticīgo macītājs)))) Cik es par viņu zinu, liekulīgs un ne visai godīgs cilvēks.",1
labs kaste,Nekur nav tik labi kā kastē! https://t.co/nwHvAus3kt,1
latvietis zeme just labs tikmēr labs just piemineklis debesskrāpis,"RT @irts1: Kamēr paši latvieši savā zemē nejutīsies labi, tikmēr tajā  labi nejutīsies neviens, lai arī kādi pieminekļi, debesskrāpji vai m…",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
skatīt video galva skanēt atvainot piedot paldies atvainot palaist lūgt tikt peldēt pateikt tūlīt mazliet ienirt labs dienēt gaidīt,"Skatos to video un galvā skan ""Atvainojiet, piedodiet! Es te tikai... paldies, atvainojiet. Palaidiet, lūdzu! Jātiek peldēt; pateicos! Es te tūlīt... vēl tikai mazliet... {ienirst} O, cik labi, visu dienu gaidīju."" https://t.co/UMseuyQVpv",1
daudzi vajadzētu pūlveri litrs ūdens labs iekrāsot nopirkt abi,"@absolutsed Cik daudz vajadzētu pūlveri uz litru ūdens, lai labi iekrāsojas? Nopirku abus 🤭",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
runāt stankeviča izteikums katole baznīca laiks labs risināt altārzēni piemērs varēt palikt stāvoklis,"RT @sencis_: Runājot par Stankeviča izteikumiem, katoļu baznīca laikam to labi risina. Altārzēni, piemēram, nevar palikt stāvoklī.",1
šogad žūrija lasīt jaundarbs bērns pusaudzis labs ļoti labs izcils sacerējums skumjš latvietis mazisks spēt novērtēt labs autors žēl lūgt iepazīt pasaule klase,"@olgertstipans @UldisVarnevichs @guntarsv Šogad esmu @LaLiGaBa žūrijā, lasīju arī jaundarbus bērniem un pusaudžiem. Labi, ļoti labi un pat izcili sacerējumi! Ir skumji, ka latvieši maziski nespēj novērtēt savus labākos autorus. Žēl gan! Lūdzu, iepazīstieties ar pasaules klasi! https://t.co/CpKEAIMrfK",1
staigāt suns parks iepazīt ukrainis bēglis vecums divi nedēļa viens dāma šodien pir,"RT @ArnisRachinskis: tikko, staigājot ar suni parkā, iepazinos ar 3 ukraiņu bēgļiem, vecumā pie 30. Divi šeit nedēļu, viena dāma šodien pir…",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
labs mana staļinkā divi siet princips varēt darboties stiprs šaubīties pļavnieku paneļmājām maskačkas āgenskalns koks māt,Labi. Manā staļinkā divu sienu princips varētu darboties. Bet stipri šaubos par Pļavnieku paneļmājām vai Maskačkas / Āgenskalna koka mājām… https://t.co/8FHte9mcW1,1
staigāt suns parks iepazīt ukrainis bēglis vecums divi nedēļa viens dāma šodien pir,"RT @ArnisRachinskis: tikko, staigājot ar suni parkā, iepazinos ar 3 ukraiņu bēgļiem, vecumā pie 30. Divi šeit nedēļu, viena dāma šodien pir…",1
pāris intervija dzēst hamatovas grēks laiks absurds naivums labs maijs aizstāvēt teātris laukums šķist tvert hamatova aģitēt balsot putināt gads uzstāt okupēt krima gads barot putināt,"@MaijaM6 @MartasTante @agnerts @jrt_lv Jā, pāris intervijas dzēš Hamatovas grēkus uz visiem laikiem. Kāds absurds naivums! Tas labi, Maija, ka aizstāvat savu teātri, taču laukumu, šķiet, netverat. Hamatova neaģitēja balsot par putinu? Viņa pēc 2014.gada neuzstājās okupētajā Krimā? Viņa gadiem barojusies no putina.",1
staigāt suns parks iepazīt ukrainis bēglis vecums divi nedēļa viens dāma šodien pir,"RT @ArnisRachinskis: tikko, staigājot ar suni parkā, iepazinos ar 3 ukraiņu bēgļiem, vecumā pie 30. Divi šeit nedēļu, viena dāma šodien pir…",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
daudzi krievs agresija atbalstītājs varonis drošs vide vēlēt bars apbruņot vājš labs apzināt dzīvildze niecīgs iespēja reāls pretinieks,"@UldisVarnevichs Daudzi krievu agresijas atbalstītāji ir varoņi tikai drošā vidē, vēlams barā, apbruņoti un pret vājāko. Labi apzinās savas dzīvildzes niecīgās iespējas  ar reālu pretinieku.",1
labs kamon godīgs jauns latvija populārs gabals drausmīgs latvietis valoda atmest roka pirmajām desmit lappuse griba kropļot valoda izjūta,"@liana_langa @olgertstipans @guntarsv ? Labi, ka Kamon vēl tā, bet godīgi. Visi jaunie Latvijas pat populārie gabali bija tik drausmīgā latviešu valodā, ka es atmetu ar roku jau pēc pirmajām desmit lappusēm. Nu negribu es kropļot savu valodas izjūtu!!!",1
šodien labs,Šodien ir labi. 🦊🥂☕️ https://t.co/6Z6sMKA4KB,1
dzīve trūkt viens drosme savs attiecība trūkt partneris godīgs pateikt trūkt šitas davai mēģināt kopa izdarīt abi labs partneris staigāt labs kreiss vienkāršs gļēvulis,"@tindermeitene Viņiem dzīvē trūkst tikai viens - drosmes. Ja savās attiecībās kaut kā trūkst, partnerim godīgi pateikt - man trūkst tas un šitas, davai mēģinām kopā izdarīt tā, lai abiem labi. Tie partneri, kas staigā pa labi un kreisi ir vienkārši gļēvuļi.",1
labs nas fb puros ff,labi nas fb puros ff https://t.co/wqqwNuylhx,1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
palasīt mūsdienas latvietis jaunot autors grāmata izdot saprast labs grāmata lasīt labs iemācīt varēt,"@olgertstipans @guntarsv @liana_langa Palasi mūsdienu latviešu jauno autoru grāmatas, ko izdod. Tad tu sapratīsi, ka labi vien ir, ka grāmatas nelasa. Tur neko labu iemācīties nevar.",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
labs katole arhibīskaps žēlīgs izvarot pārdzīvot aborts mokas tagad brīdināt,"RT @ilz: Cik labi, ka mums ir tāds katoļu arhibīskaps, kurš ir bijis nežēlīgi izvarots, pārdzīvojis aborta mokas un tagad var brīdināt cita…",0
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
pāris stunda labs rietumi pseidoliberālajām ilūzija maskava ietekme tas,RT @ervinsk: @ainarsbr11 @arestovych Te pirms pāris stundām labi par Rietumu pseidoliberālajām ilūzijām un Maskavas ietekmi tajās https://t…,1
stūre max labs kreiss risinājums notikt notikt prasīt loterija biļete laimīgs vajadzētu laimests,"@KrisjaLV Stūre max pa labi/kreisi arī ir risinājums, lai nenotiktu, tā kā notika. Te gan prasās pēc loterijas biļetes “laimīgajam”. Vajadzētu būt laimestam.",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
staigāt suns parks iepazīt ukrainis bēglis vecums divi nedēļa viens dāma šodien pir,"RT @ArnisRachinskis: tikko, staigājot ar suni parkā, iepazinos ar 3 ukraiņu bēgļiem, vecumā pie 30. Divi šeit nedēļu, viena dāma šodien pir…",1
staigāt suns parks iepazīt ukrainis bēglis vecums divi nedēļa viens dāma šodien pir,"RT @ArnisRachinskis: tikko, staigājot ar suni parkā, iepazinos ar 3 ukraiņu bēgļiem, vecumā pie 30. Divi šeit nedēļu, viena dāma šodien pir…",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
interesants uzbekiete nākošreiz uzbeks aizsūtīt,"RT @agringoob: @Paradnieks @Valsts_policija Pats interesantākais,ka pati ir uzbekiete. @Paradnieks  nākošreiz  kādu uzbeku aizsūtīt,100% to…",1
mūspuse zināt bads mērdēt latvija izeja ienākt krievija latvija tikpat labs ukraina,"Ja kāds mūspusē vēl nezināja - mūs te badā mērdē, Latvijā. Ir izeja - ja ienāks Krievija, visur Latvijā būs tikpat labi, kā Ukrainā. https://t.co/VviyWhBuBm",1
robeža iejaukt svešs cilvēks dzīve vēlēt noteikt svešs sieviete rīkot robeža pārkāpt labs iespēt dzemdēt piedzīvot vardarbība dzerstiņa vēlēt piedzimt narkomāns dzērājs izvarot traumēt sieviete ģimene,"@sauja_piishlju @olgadragileva @RaivisZeltits Robeža ir iejaukšanās sveša cilvēka dzīvē. Ja Tu vēlies noteikt, kā svešām sievietēm rīkoties, robeža ir pārkāpta. Labi, ka ir iespējams nedzemdēt pēc piedzīvotas vardarbības vai dzerstiņa. Neviens nevēlas piedzimt narkomānu, dzērāju vai izvarotas, traumētas sievietes ģimenē.",0
muļķība valsts medijs lv vajadzīgs īpašs labs redzēt šobrīd varēt lsm zvaigzne stunda gribēt iegūt operatīvs patiess informācija notikt lsm pēdējs izmantot,"@egliitis @ArvisKolmanis @DaceZa Muļķības. Valsts medijs LV nav vajadzīgs. Tas īpaši labi redzams šobrīd, kas varētu būt LSM zvaigžņu stunda, bet ja gribam iegūt operatīvu un patiesu informāciju par notiekošo, LSM ir pēdējais, ko izmantot.",1
staigāt suns parks iepazīt ukrainis bēglis vecums divi nedēļa viens dāma šodien pir,"RT @ArnisRachinskis: tikko, staigājot ar suni parkā, iepazinos ar 3 ukraiņu bēgļiem, vecumā pie 30. Divi šeit nedēļu, viena dāma šodien pir…",1
staigāt suns parks iepazīt ukrainis bēglis vecums divi nedēļa viens dāma šodien pir,"RT @ArnisRachinskis: tikko, staigājot ar suni parkā, iepazinos ar 3 ukraiņu bēgļiem, vecumā pie 30. Divi šeit nedēļu, viena dāma šodien pir…",1
jāpiemēra savs persona labs izskatīt,"@Rozaa543 @LindaVeidemane @NKristopane Nu ja, kad jāpiemēra savai personai, tad tik labi neizskatās, ko ?",1
viens ritiem labs griba nomirt,man viens no tiem ritiem kur nekas nav labi un gribas nomirt,1
labs teikt,@irts1 Labi teikts!,1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
staigāt suns parks iepazīt ukrainis bēglis vecums divi nedēļa viens dāma šodien pir,"RT @ArnisRachinskis: tikko, staigājot ar suni parkā, iepazinos ar 3 ukraiņu bēgļiem, vecumā pie 30. Divi šeit nedēļu, viena dāma šodien pir…",1
staigāt suns parks iepazīt ukrainis bēglis vecums divi nedēļa viens dāma šodien pir,"RT @ArnisRachinskis: tikko, staigājot ar suni parkā, iepazinos ar 3 ukraiņu bēgļiem, vecumā pie 30. Divi šeit nedēļu, viena dāma šodien pir…",1
vismane skaitīt nākotne cerība trīsēt sets labs,@Antra48165741 @AgrisSkudra @rence9 @ilze_sedlina @VinetaPu @DvinuMamma @LigaVasara Vismane jau skaitījās nākotnes cerība - trīs seti ir labi!,1
labs sieviete realizēt sieviete tiesība sacīt realizēt slikts,"@Rozaa543 @LindaVeidemane @NKristopane Kāpēc labi? Sieviete nerealizēja savas sieviešu tiesības.
Tad Tu saki, kad realizē, tas ir slikti ?",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
labs mamma ļaut pierunāt,"@n_karklinz @LindaVeidemane @NKristopane Tu taču te esi, tad jau labi, ka mamma ļāvās pierunāties.",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
varēt parunāt tētis labs dzert nedebilizēt tauta kopa,"@Sarmite_Kolate Vai tu varētu parunāt ar savu tēti? Labi, ka viņš nedzer. Bet vai viņš var nedebilizēt tautu kopā ar @mbendiks",1
labs,@Rozaa543 @LindaVeidemane @NKristopane Kāpēc labi ?,1
tātad gals izlemt māte šaubīties aizliegt aprunāt labs,"@n_karklinz @LindaVeidemane @NKristopane Tātad, līdz galam nebija izlēmusi. Tava māte šaubījās. Viņai neaizliedza, ar viņu aprunājās. Un labi, ka tā.",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis patērētājs kaka valstība iedomāt varenība gribēt izbaudīt tvekrānu datorkasti līdzīgs vietējs kolona švaļi,"Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un patērētājs, kurš savas kaku valstības iedomāto ""varenību"" grib izbaudīt caur TVekrānu vai datorKASTI. Līdzīgi kā mūsu vietējie 5. kolonas švaļi. https://t.co/yuxkotJwiq",0
izklausīt ļoti sakarīgs katole draugs labs pateikt atklāt godīgs,"@cirslitis Izklausās pēc ļoti sakarīga katoļu drauga :) 
Labi pateikts 👌
Atklāti un godīgi.",1
latvisks dzīvesziņa beigt labs beigas,"RT @pepija: Latviskā dzīvesziņa: ja kaut kas beidzas labi, tad tās vēl nav beigas.",1
izaugt labs,@JeteBurkanciema Izaug labi?,1
